"season","team_score","opponent_team_score","assists","blocks","defensive_rebounds","offensive_rebounds","two_point_field_goal_pct","two_point_field_goals_attempted","three_point_field_goal_pct","three_point_field_goals_attempted","turnovers","free_throw_pct","free_throws_attempted","wins","losses","team_display_name","conf","mov","ortg","drtg","nrtg","mov.a","ortg.a","drtg.a","nrtg.a","playoffs_flag"
2004,92.8170731707317,97.4634146341463,20.0975609756098,4.97560975609756,30.5731707317073,12.1463414634146,0.457838438491103,64.390243902439,32.0012195121951,15.2317073170732,16.4634146341463,77.1975609756098,24.0975609756098,28,54,"Atlanta Hawks","E",-4.65,101.91,107.01,-5.11,-5,102.02,107.51,-5.49,0
2004,89.780487804878,88.0487804878049,19.2560975609756,5.40243902439024,32.280487804878,10.3292682926829,0.463758024761486,58.4024390243902,36.530487804878,17.1463414634146,16.7439024390244,77.2878048780488,21.6341463414634,45,37,"Houston Rockets","W",1.73,101.8,99.87,1.93,2.28,101.65,99.13,2.52,1
2004,91.3780487804878,85.6219512195122,21.6341463414634,5.01219512195122,29.9024390243902,11.7682926829268,0.456759236705618,61.4756097560976,34.7109756097561,15.6219512195122,14.4146341463415,75.8939024390244,24.5609756097561,61,21,"Indiana Pacers","E",5.76,104.77,98.16,6.61,4.93,104.47,98.77,5.7,1
2004,94.7682926829268,99.3536585365854,20.1585365853659,4.58536585365854,29.4634146341463,14.0121951219512,0.449517102693863,67.7439024390244,31.7146341463415,12.4878048780488,16.390243902439,78.7780487804878,28.0731707317073,28,54,"Los Angeles Clippers","W",-4.59,104.3,109.4,-5.1,-3.74,104.63,108.81,-4.18,0
2004,98.1951219512195,94.2926829268293,23.7560975609756,4.6219512195122,30.9146341463415,12.2073170731707,0.479200623615932,67.8170731707317,32.1243902439024,13.5975609756098,13.8048780487805,69.7792682926829,28.6829268292683,56,26,"Los Angeles Lakers","W",3.9,106.23,102.06,4.16,4.35,106.2,101.54,4.65,1
2004,90.2682926829268,89.7439024390244,19.0853658536585,3.81707317073171,29.9878048780488,11.4634146341463,0.444729283863012,61.7073170731707,35.8317073170732,16.5487804878049,13.8658536585366,75.9573170731707,23.3536585365854,42,40,"Miami Heat","E",0.52,102.92,102.48,0.43,-0.13,102.81,103.08,-0.28,1
2004,98.0365853658537,96.9756097560976,22.8292682926829,4.67073170731707,30.5121951219512,11.7073170731707,0.468672532097088,67.1341463414634,35.009756097561,13.9634146341463,13.5365853658537,77.4060975609756,26.7317073170732,41,41,"Milwaukee Bucks","E",1.06,107.28,106.09,1.19,0.42,107.34,106.85,0.49,1
2004,94.5487804878049,89.0609756097561,23.0487804878049,5.63414634146341,32.2560975609756,10.6707317073171,0.477213317151247,69.1951219512195,36.1682926829268,10.9390243902439,12.719512195122,78.3682926829268,21.2560975609756,58,24,"Minnesota Timberwolves","W",5.49,106.53,100.3,6.23,5.86,106.41,99.79,6.62,1
2004,90.2560975609756,87.7560975609756,24.5,3.92682926829268,30.1585365853659,10.5121951219512,0.464802553868294,64.0121951219512,33.3451219512195,13.6951219512195,14.7439024390244,74.75,22.6341463414634,47,35,"New Jersey Nets","E",2.5,101.76,99.05,2.71,1.88,101.52,99.49,2.03,1
2004,91.9756097560976,93.4512195121951,20.6707317073171,4.76829268292683,31.0121951219512,11.5853658536585,0.459214038514651,65.8292682926829,35.8353658536585,13.5975609756098,15.719512195122,79.3134146341463,21.1219512195122,39,43,"New York Knicks","E",-1.48,102.39,104.02,-1.63,-1.97,102.4,104.56,-2.17,1
2004,94.0365853658537,101.060975609756,19.3170731707317,3.75609756097561,28.6585365853659,12.2317073170732,0.44927058326887,67.3170731707317,34.1780487804878,15.219512195122,13.6951219512195,73.5646341463415,24.390243902439,21,61,"Orlando Magic","E",-7.02,103.53,111.31,-7.78,-7.25,103.84,111.86,-8.02,0
2004,95.2560975609756,96.7073170731707,20.5243902439024,4.03658536585366,29.7560975609756,10.3780487804878,0.475474216882247,58.7317073170732,34.2012195121951,19.5,16.2439024390244,75.6646341463415,25.5487804878049,36,46,"Boston Celtics","E",-1.45,102.76,104.39,-1.63,-1.99,102.66,104.89,-2.23,1
2004,87.9878048780488,90.4756097560976,20,4.36585365853659,29.3658536585366,11.4756097560976,0.445587712163102,64.2439024390244,33.5170731707317,12.0975609756098,15.9390243902439,75.1926829268293,24.5,33,49,"Philadelphia 76ers","E",-2.49,100.29,103.04,-2.76,-2.95,100.28,103.54,-3.26,0
2004,94.1829268292683,97.9268292682927,19.3414634146341,4.67073170731707,29.3414634146341,11.2682926829268,0.466144216718198,66.6951219512195,34.0048780487805,14.6585365853659,15.2317073170732,74.3292682926829,22.7439024390244,29,53,"Phoenix Suns","W",-3.74,102.33,106.35,-4.02,-2.94,102.5,105.65,-3.14,0
2004,90.7317073170732,92,21.5609756097561,5.40243902439024,28.9756097560976,12.6829268292683,0.469525016469786,65.4268292682927,34.3756097560976,13.4390243902439,14.7926829268293,73.4353658536585,21.0731707317073,41,41,"Portland Trail Blazers","W",-1.27,104.58,106.04,-1.47,-0.58,104.74,105.45,-0.71,0
2004,102.841463414634,97.8292682926829,26.2439024390244,3.96341463414634,30.390243902439,10.8292682926829,0.482737770579809,63.5731707317073,40.1621951219512,18.2682926829268,13.8658536585366,79.8012195121951,24.9268292682927,55,27,"Sacramento Kings","W",5.01,110.87,105.42,5.45,5.41,111.02,105.14,5.88,1
